"agency_type","call_category","address_city","incident_number","jurisdiction","problem","date_response","address_state","address_zip","day_response","month_response","year_response"
"Fire","Life-Threatening Emergency Response","SAN DIEGO","FS22039050","San Diego","Life-Threatening Emergency Response","2022-03-04 23:56:35","CA","92115","4","3","2022"
"Fire","Non-Life-Threatening Response","SAN DIEGO","FS22039051","San Diego","Non-Life-Threatening Response","2022-03-04 23:55:54","CA","92115","4","3","2022"
"Fire","Life-Threatening Emergency Response","SAN DIEGO","FS22039049","San Diego","Life-Threatening Emergency Response","2022-03-04 23:54:58","CA","92116","4","3","2022"
"Fire","Urgent Response","SAN DIEGO","FS22039048","San Diego","Urgent Response","2022-03-04 23:47:23","CA","92109","4","3","2022"
"Fire","HAZARD","SAN DIEGO","FS22039045","San Diego","HAZARD","2022-03-04 23:43:48","CA","92102","4","3","2022"
"Fire","Urgent Response","SAN DIEGO","FS22039047","San Diego","Urgent Response","2022-03-04 23:43:43","CA","92122","4","3","2022"
"Fire","RESCUE","SAN DIEGO","FS22039044","San Diego","RESCUE","2022-03-04 23:41:55","CA","92101","4","3","2022"
"Fire","Urgent Response","SAN DIEGO","FS22039042","San Diego","Urgent Response","2022-03-04 23:41:06","CA","92110","4","3","2022"
"Fire","Non-Life-Threatening Response","SAN DIEGO","FS22039043","San Diego","Non-Life-Threatening Response","2022-03-04 23:41:06","CA","92102","4","3","2022"
"Fire","Life-Threatening Emergency Response","SAN DIEGO","FS22039041","San Diego","Life-Threatening Emergency Response","2022-03-04 23:38:53","CA","92109","4","3","2022"
"Fire","Urgent Response","SAN DIEGO","FS22039038","San Diego","Urgent Response","2022-03-04 23:34:37","CA","92105","4","3","2022"
"Fire","Life-Threatening Emergency Response","SAN DIEGO","FS22039039","San Diego","Life-Threatening Emergency Response","2022-03-04 23:34:04","CA","92139","4","3","2022"
"Fire","Life-Threatening Emergency Response","SAN DIEGO","FS22039037","San Diego","Life-Threatening Emergency Response","2022-03-04 23:33:51","CA","92103","4","3","2022"
"Fire","Life-Threatening Emergency Response","SAN DIEGO","FS22039035","San Diego","Life-Threatening Emergency Response","2022-03-04 23:27:58","CA","92108","4","3","2022"
"Fire","Urgent Response","SAN DIEGO","FS22039034","San Diego","Urgent Response","2022-03-04 23:26:28","CA","92128","4","3","2022"
"Fire","Non-Life-Threatening Response","SAN DIEGO","FS22039032","San Diego","Non-Life-Threatening Response","2022-03-04 23:20:20","CA","92115","4","3","2022"
"Fire","Life-Threatening Emergency Response","SAN DIEGO","FS22039031","San Diego","Life-Threatening Emergency Response","2022-03-04 23:19:20","CA","92115","4","3","2022"
"Fire","Life-Threatening Emergency Response","SAN DIEGO","FS22039030","San Diego","Life-Threatening Emergency Response","2022-03-04 23:17:33","CA","92120","4","3","2022"
